"clusterName","Location","cifsServerName","cifsShareName","cifsSharePath","cifsShareComments","hostingVolume","hostingVolumeUsedSize(GB)"
"snowy","Sydney","snowySVM055","Team Snapshot Reports","/snowySVM055_vol004/GroupData/Team Snapshot Reports","INC000017723704_Team Snapshot Reports","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM060","ASSET","/snowySVM060_vol004/legacydata4/ASSET",,"snowySVM060_vol004","4253"
"snowy","Sydney","snowySVM064","sp0099_group1_dr","/snowySVM064_vol001",,"snowySVM064_vol001","1087"
"snowy","Sydney","snowySVM063","snowySVM063_vol002_clone","/snowySVM063_vol002_clone","CRQ000007195505 Flexclone of snowySVM063_vol002","snowySVM063_vol002_clone","7677"
"snowy","Sydney","snowySVM067","NRA","/snowySVM067_vol001/LegacyData1/NRA","NRA","snowySVM067_vol001","10911"
"snowy","Sydney","snowySVM060","ds","/snowySVM060_vol001/legacydata1/ds",,"snowySVM060_vol001","19701"
"snowy","Sydney","snowySVM050","RetailHomeU104Link9","/vol/snowySVM050_vol001/RetailHomeU104Link9",,"snowySVM050_vol001","7857"
"snowy","Sydney","snowySVM062","GIMGRS","/snowySVM062_vol001/groupdata/Corporate/GIMGRS",,"snowySVM062_vol001","85941"
"snowy","Sydney","snowySVM060","ExecDev","/snowySVM060_vol002/legacydata2/ExecDev",,"snowySVM060_vol002","6630"
"snowy","Sydney","snowySVM060","NSB","/snowySVM060_vol002/legacydata2/NSB",,"snowySVM060_vol002","6630"
"snowy","Sydney","snowySVM055","PROJECT ALBERT","/snowySVM055_vol002/GroupData/PROJECT ALBERT","INC000016321657_PROJECT ALBERT","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM068","Project Trajan 2","/snowySVM068_vol001/GroupData/Project Trajan 2","INC000018170911_Project Trajan 2","snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM067","FXACCT","/snowySVM067_vol003/LegacyData3/FXACCT","FXACCT","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM068","Financial Markets Enchanted Ball","/snowySVM068_vol001/GroupData/Financial Markets Enchanted Ball","INC000016320063_Financial Markets Enchanted Ball","snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM055","Stuart Hall Files","/snowySVM055_vol004/GroupData/Stuart Hall Files","INC000018640102_ Stuart Hall Files","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM055","Core Network Transformation","/snowySVM055_vol002/GroupData/Core Network Transformation","INC000017046264_Core Network Transformation","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM060","Wibfingrp","/snowySVM060_vol003/legacydata3/Wibfingrp",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM060","CFSP&P","/snowySVM060_vol006/groupdata/CFSP&P",,"snowySVM060_vol006","24779"
"snowy","Sydney","snowySVM067","~GroupsHO","/snowySVM067_vol005/LegacyData5/~GroupsHO","~GroupsHO","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM060","Legalapp","/snowySVM060_vol003/legacydata3/Legalapp",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM062","GroupData","/snowySVM062_vol001/groupdata",,"snowySVM062_vol001","85941"
"snowy","Sydney","snowySVM060","RMWXRPTS","/snowySVM060_vol003/legacydata3/RMWXRPTS",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM067","Tsy_IRS","/snowySVM067_vol004/LegacyData4/Tsy_IRS","Tsy_IRS","snowySVM067_vol004","24973"
"snowy","Sydney","snowySVM053","CFAL","/vol/snowySVM053_vol002/GroupData/CFAL",,"snowySVM053_vol002","7878"
"snowy","Sydney","snowySVM067","tru","/snowySVM067_vol003/LegacyData3/tru","tru","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM053","snowySVM053_vol003","/vol/snowySVM053_vol003",,"snowySVM053_vol003","10143"
"snowy","Sydney","snowySVM067","DeskBank1","/snowySVM067_vol005/LegacyData5/DeskBank1","DeskBank1","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM055","KE Support Inbox","/snowySVM055_vol002/GroupData/KE Support Inbox",,"snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM056","a001c7_PSP","/snowySVM056_a001c7_PSP",,"snowySVM056_a001c7_PSP","0"
"snowy","Sydney","snowySVM060","WRU","/snowySVM060_vol006/legacydata6/WRU",,"snowySVM060_vol006","24779"
"snowy","Sydney","snowySVM053","Procurement Dispute Resolution","/vol/snowySVM053_vol002/GroupData/Procurement Dispute Resolution","INC000019886009_Procurement Dispute Resolution","snowySVM053_vol002","7878"
"snowy","Sydney","snowySVM067","PaymentsTransformation","/snowySVM067_vol004/LegacyData4/PaymentsTransformation","PaymentsTransformation","snowySVM067_vol004","24973"
"snowy","Sydney","snowySVM068","Project Society","/snowySVM068_vol001/GroupData/Project Society",,"snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM067","GROUPSEC","/snowySVM067_vol005/LegacyData5/GROUPSEC","GROUPSEC","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM051","Sales&ServiceHomeU104Link7","/vol/snowySVM051_vol001/Sales&ServiceHomeU104Link7",,"snowySVM051_vol001","4786"
"snowy","Sydney","snowySVM063","test_home2","/snowySVM063_vol002/home2/test_home2",,"snowySVM063_vol002","23338"
"snowy","Sydney","snowySVM058","DFS_Client_Users_Retail_NT_SG1$","/snowySVM058_vol001/FileSrv/Users/Retail/NT/SG1",,"snowySVM058_vol001","6728"
"snowy","Sydney","snowySVM060","EPO","/snowySVM060_vol002/legacydata2/EPO",,"snowySVM060_vol002","6630"
"snowy","Sydney","snowySVM062","Portfolio_Management_Archive","/snowySVM062_vol004/Portfolio_Management_Archive","INC000016191073_Portfolio_Management_Archive","snowySVM062_vol004","32935"
"snowy","Sydney","snowySVM052","snowySVM052_vol001","/vol/snowySVM052_vol001",,"snowySVM052_vol001","622"
"snowy","Sydney","snowySVM055","Westpac NSW Security Team Leaders","/snowySVM055_vol002/GroupData/Westpac NSW Security Team Leaders","INC000014965997_Westpac NSW Security Team Leaders","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM058","DFS_Client_Users_Retail_NSW_SG3$","/snowySVM058_vol001/FileSrv/Users/Retail/NSW/SG3",,"snowySVM058_vol001","6728"
"snowy","Sydney","snowySVM053","Groupdata","/vol/snowySVM053_vol002/GroupOperationsGroupdataU104/Lockleys/Groupdata","Pronto Groupdata - Owners Graeme Robinson & James Lau","snowySVM053_vol002","7878"
"snowy","Sydney","snowySVM067","DRTEST3","/snowySVM067_vol003/LegacyData3/DRTEST3","DRTEST3","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM060","SECCP","/snowySVM060_vol006/groupdata/SECCP",,"snowySVM060_vol006","24779"
"snowy","Sydney","snowySVM060","NOTESADMIN","/snowySVM060_vol002/legacydata2/NOTESADMIN",,"snowySVM060_vol002","6630"
"snowy","Sydney","snowySVM055","CA","/snowySVM055_vol002/GroupData/CA","INC000015568361_CA","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM067","Exotica","/snowySVM067_vol003/LegacyData3/Exotica","Exotica","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM053","GroupOperationsHomeU104Link3","/vol/snowySVM053_vol001/GroupOperationsHomeU104Link3",,"snowySVM053_vol001","7377"
"snowy","Sydney","snowySVM051","Sales&ServiceProfileU104Link7","/vol/snowySVM051_vol001/Sales&ServiceProfileU104Link7",,"snowySVM051_vol001","4786"
"snowy","Sydney","snowySVM050","David_Armour_Partnership","/vol/snowySVM050_vol002/GroupData/David Armour Partnership",,"snowySVM050_vol002","1246"
"snowy","Sydney","snowySVM055","BB HR TEAM","/snowySVM055_vol004/GroupData/BB HR TEAM","INC000017736914_BB HR TEAM","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM055","BT Expo Preparation","/snowySVM055_vol004/GroupData/BT Expo Preparation","INC000017503318_BT Expo Preparation","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM067","FBServices","/snowySVM067_vol001/LegacyData1/FBServices","FBServices","snowySVM067_vol001","10911"
"snowy","Sydney","snowySVM067","GroupData","/snowySVM067_vol006/groupdata",,"snowySVM067_vol006","20804"
"snowy","Sydney","snowySVM055","Workplace - R and R BAU Projects","/snowySVM055_vol002/GroupData/Workplace - R and  R BAU Projects","INC000014819253_ Workplace - R and R BAU Projects","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM067","Extranet","/snowySVM067_vol002/Extranet","Extranet","snowySVM067_vol002","14196"
"snowy","Sydney","snowySVM068","Innovation Project - Workplace Banking","/snowySVM068_vol001/GroupData/Innovation Project - Workplace Banking",,"snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM050","RetailHomeU104Link5","/vol/snowySVM050_vol001/RetailHomeU104Link5",,"snowySVM050_vol001","7857"
"snowy","Sydney","snowySVM067","ADSUP","/snowySVM067_vol005/LegacyData5/ADSUP","ADSUP","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM053","ASPC","/vol/snowySVM053_vol002/GroupData/ASPC","INC000017746780_ASPC","snowySVM053_vol002","7878"
"snowy","Sydney","snowySVM052","ContactCentresProfileU104Link7","/vol/snowySVM052_vol001/ContactCentresProfileU104Link7",,"snowySVM052_vol001","622"
"snowy","Sydney","snowySVM056","Alfabet_PROD1_Secure","/snowySVM056_Alfabet_PROD1",,"snowySVM056_Alfabet_PROD1","19"
"snowy","Sydney","snowySVM055","Test FileOptics","/snowySVM055_vol002/GroupData/Test FileOptics","INC000014909109_ Test FileOptics","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM055","Legal Hold","/snowySVM055_vol007/Legal Hold","INC000017807283_Legal Hold","snowySVM055_vol007","1631"
"snowy","Sydney","snowySVM053","GroupOperationsProfileU104Link7","/vol/snowySVM053_vol001/GroupOperationsProfileU104Link7",,"snowySVM053_vol001","7377"
"snowy","Sydney","snowySVM060","IFRS_WIBTSY","/snowySVM060_vol003/legacydata3/IFRS_WIBTSY",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM067","ConnectNow Head Office","/snowySVM067_vol003/legacydata3/ConnectNow Head Office","\\snowySVM024\ConnectNow Head Office","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM100","sg_np0002_group1_sv","/sg_np0002_group1_sv",,"sg_np0002_group1_sv",
"snowy","Sydney","snowySVM067","complian","/snowySVM067_vol003/LegacyData3/complian","complian","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM066","PW Risk and Compliance","/snowySVM066_vol001/GroupData/PW Risk and Compliance","INC000019211657_PW Risk and Compliance","snowySVM066_vol001","57517"
"snowy","Sydney","snowySVM055","SME QLD","/snowySVM055_vol004/GroupData/SME QLD","INC000017722730_SME QLD","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM077","telecommunications","/snowySVM077_vol005/telecommunications",,"snowySVM077_vol005","5922"
"snowy","Sydney","snowySVM055","Project Pepper","/snowySVM055_vol002/GroupData/Project Pepper",,"snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM067","NetOps","/snowySVM067_vol005/NetOps","NetOps","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM055","EVAHelpDesk","/snowySVM055_vol002/GroupData/EVAHelpDesk","INC000015725608_Electronic Verification & Acceptance(EVAHelpDesk)","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM053","snowySVM053_vol004","/vol/snowySVM053_vol004",,"snowySVM053_vol004","6"
"snowy","Sydney","snowySVM077","BrokerRanking","/snowySVM077_vol002/GroupData/BrokerRanking","BrokerRanking","snowySVM077_vol002","16853"
"snowy","Sydney","snowySVM060","COMMON","/snowySVM060_vol002/legacydata2/COMMON",,"snowySVM060_vol002","6630"
"snowy","Sydney","snowySVM060","IBMHANDOVER","/snowySVM060_vol006/IBMHANDOVER",,"snowySVM060_vol006","24779"
"snowy","Sydney","snowySVM060","CSMMgtTeam","/snowySVM060_vol005/legacydata5/CSMMgtTeam",,"snowySVM060_vol005","10394"
"snowy","Sydney","snowySVM068","Schedule","/snowySVM068_vol001/GroupData/Schedule","INC000016930405_Schedule","snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM067","Deskbank","/snowySVM067_vol003/LegacyData3/Deskbank","Deskbank","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM052","ContactCentresHomeU104Link5","/vol/snowySVM052_vol001/ContactCentresHomeU104Link5",,"snowySVM052_vol001","622"
"snowy","Sydney","snowySVM068","Project Emerald Regulatory Reporting","/snowySVM068_vol001/GroupData/Project Emerald Regulatory Reporting","INC000018063225_Project Emerald Regulatory Reporting","snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM068","Risk Culture and Conduct Data Repository","/snowySVM068_vol001/GroupData/Risk Culture and Conduct Data Repository","INC000018480586_Risk_Culture_Conduct_Data_Repository","snowySVM068_vol001","4886"
"snowy","Sydney","snowySVM055","Sales & Service Transformation","/snowySVM055_vol002/GroupData/Sales & Service Transformation","INC000017046411_Sales & Service Transformation","snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM067","FINACCT","/snowySVM067_vol003/LegacyData3/FINACCT","FINACCT","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM050","Customer Pricing Platform","/vol/snowySVM050_vol002/GroupData/Customer Pricing Platform","INC000019054472_Customer Pricing Platform","snowySVM050_vol002","1246"
"snowy","Sydney","snowySVM052","snowySVM052_vol002","/vol/snowySVM052_vol002",,"snowySVM052_vol002","9"
"snowy","Sydney","snowySVM055","ORMBSupportLog","/snowySVM055_vol002/GroupData/ORMBSupportLog",,"snowySVM055_vol002","55593"
"snowy","Sydney","snowySVM055","Customer Solutions Private","/snowySVM055_vol004/GroupData/Customer Solutions Private","INC000019060165_Customer Solutions Private","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM073","np0005_group2","/snowySVM073_vol003",,"snowySVM073_vol003","21"
"snowy","Sydney","snowySVM055","STG Strategy & Operations","/snowySVM055_vol004/GroupData/STG Strategy & Operations","INC000018326132_STG Strategy & Operations","snowySVM055_vol004","1760"
"snowy","Sydney","snowySVM056","XAProfileLink","/snowySVM056_B5_004",,"snowySVM056_B5_004","102"
"snowy","Sydney","snowySVM060","PBank","/snowySVM060_vol003/legacydata3/PBank",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM077","Financial Planning","/snowySVM077_vol002/GroupData/Financial Planning","Financial Planning","snowySVM077_vol002","16853"
"snowy","Sydney","snowySVM065","np0001_home1_dr","/snowySVM065_vol002",,"snowySVM065_vol002","63"
"snowy","Sydney","snowySVM067","Rams","/snowySVM067_vol005/LegacyData5/Rams","Rams","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM067","Collections-IT","/snowySVM067_vol005/LegacyData5/Collections-IT","Collections-IT","snowySVM067_vol005","17391"
"snowy","Sydney","snowySVM067","DERIVS","/snowySVM067_vol003/LegacyData3/DERIVS","DERIVS","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM067","fax401","/snowySVM067_vol003/LegacyData3/fax401","fax401","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM055","A007FB","/snowySVM055_A007FB",,"snowySVM055_A007FB","8"
"snowy","Sydney","snowySVM050","SME SA_NT","/vol/snowySVM050_vol002/GroupData/SME SA_NT","INC000014591674_SME SA_NT","snowySVM050_vol002","1246"
"snowy","Sydney","snowySVM067","BCB","/snowySVM067_vol002/LegacyData2/BCB",,"snowySVM067_vol002","14196"
"snowy","Sydney","snowySVM067","BusImprov","/snowySVM067_vol003/LegacyData3/BusImprov","BusImprov","snowySVM067_vol003","16531"
"snowy","Sydney","snowySVM075","np0019_profiles1","/snowySVM075_vol004",,"snowySVM075_vol004","637"
"snowy","Sydney","snowySVM064","Home","/snowySVM064_vol003/Home","Home","snowySVM064_vol003","111"
"snowy","Sydney","snowySVM058","DFS_Client_Users_Retail_SA_SG3$","/snowySVM058_vol001/FileSrv/Users/Retail/SA/SG3",,"snowySVM058_vol001","6728"
"snowy","Sydney","snowySVM054","dom_av_test_with_slash","/Software/dom_av_test",,"Software","18"
"snowy","Sydney","snowySVM067","ydrive","/snowySVM067_vol004/LegacyData4/ydrive","ydrive","snowySVM067_vol004","24973"
"snowy","Sydney","snowySVM060","Pipeline","/snowySVM060_vol003/legacydata3/Pipeline",,"snowySVM060_vol003","10545"
"snowy","Sydney","snowySVM067","Payrollit","/snowySVM067_vol001/LegacyData1/Payrollit","Payrollit","snowySVM067_vol001","10911"
"snowy","Sydney","snowySVM050","BankSA Leadership Team","/vol/snowySVM050_vol002/GroupData/BankSA Leadership Team","INC000019712420_BankSA Leadership Team","snowySVM050_vol002","1246"
"snowy","Sydney","snowySVM067","GRM_XTAX","/snowySVM067_vol001/LegacyData1/GRM_XTAX","GRM_XTAX","snowySVM067_vol001","10911"
"snowy","Sydney","snowySVM100","sg_np0001_home1_sv","/sg_np0001_home1_sv",,"sg_np0001_home1_sv","417"
