"Severity","Message"
"Information","*** Start Collecting NetApp Volume/Share Utilization details "
"Success","Contents of .\inputs_test.csv are imported successfully"
"Information","*** Importing Module: DataONTAP"
"Success","Module DataONTAP is imported Successfully"
"Information","*** Collecting data from snowy"
"Information","*** Starting function Create-Database for snowy"
"Information","*** Connecting to storage cluster snowy"
"Success","Connected to snowy"
"Success","Collected information about the cluster"
"Success","Collected information about the Vserver : snowySVM050 "
"Success","Collected information about all the shares on Vserver : snowySVM050"
"Success","Collected information about all the volumes on Vserver : snowySVM050"
"Success","Collected information about the Vserver : snowySVM051 "
"Success","Collected information about all the shares on Vserver : snowySVM051"
"Success","Collected information about all the volumes on Vserver : snowySVM051"
"Success","Collected information about the Vserver : snowySVM052 "
"Success","Collected information about all the shares on Vserver : snowySVM052"
"Success","Collected information about all the volumes on Vserver : snowySVM052"
"Success","Collected information about the Vserver : snowySVM053 "
"Success","Collected information about all the shares on Vserver : snowySVM053"
"Success","Collected information about all the volumes on Vserver : snowySVM053"
"Success","Collected information about the Vserver : snowySVM054 "
"Success","Collected information about all the shares on Vserver : snowySVM054"
"Success","Collected information about all the volumes on Vserver : snowySVM054"
"Success","Collected information about the Vserver : snowySVM055 "
"Success","Collected information about all the shares on Vserver : snowySVM055"
"Success","Collected information about all the volumes on Vserver : snowySVM055"
"Success","Collected information about the Vserver : snowySVM056 "
"Success","Collected information about all the shares on Vserver : snowySVM056"
"Success","Collected information about all the volumes on Vserver : snowySVM056"
"Success","Collected information about the Vserver : snowySVM057 "
"Success","Collected information about all the shares on Vserver : snowySVM057"
"Success","Collected information about all the volumes on Vserver : snowySVM057"
"Success","Collected information about the Vserver : snowySVM058 "
"Success","Collected information about all the shares on Vserver : snowySVM058"
"Success","Collected information about all the volumes on Vserver : snowySVM058"
"Success","Collected information about the Vserver : snowySVM060 "
"Success","Collected information about all the shares on Vserver : snowySVM060"
"Success","Collected information about all the volumes on Vserver : snowySVM060"
"Success","Collected information about the Vserver : snowySVM061 "
"Success","Collected information about all the shares on Vserver : snowySVM061"
"Success","Collected information about all the volumes on Vserver : snowySVM061"
"Success","Collected information about the Vserver : snowySVM062 "
"Success","Collected information about all the shares on Vserver : snowySVM062"
"Success","Collected information about all the volumes on Vserver : snowySVM062"
"Success","Collected information about the Vserver : snowySVM063 "
"Success","Collected information about all the shares on Vserver : snowySVM063"
"Success","Collected information about all the volumes on Vserver : snowySVM063"
"Success","Collected information about the Vserver : snowySVM064 "
"Success","Collected information about all the shares on Vserver : snowySVM064"
"Success","Collected information about all the volumes on Vserver : snowySVM064"
"Success","Collected information about the Vserver : snowySVM065 "
"Success","Collected information about all the shares on Vserver : snowySVM065"
"Success","Collected information about all the volumes on Vserver : snowySVM065"
"Success","Collected information about the Vserver : snowySVM066 "
"Success","Collected information about all the shares on Vserver : snowySVM066"
"Success","Collected information about all the volumes on Vserver : snowySVM066"
"Success","Collected information about the Vserver : snowySVM067 "
"Success","Collected information about all the shares on Vserver : snowySVM067"
"Success","Collected information about all the volumes on Vserver : snowySVM067"
"Success","Collected information about the Vserver : snowySVM068 "
"Success","Collected information about all the shares on Vserver : snowySVM068"
"Success","Collected information about all the volumes on Vserver : snowySVM068"
"Success","Collected information about the Vserver : snowySVM069 "
"Success","Collected information about all the shares on Vserver : snowySVM069"
"Success","Collected information about all the volumes on Vserver : snowySVM069"
"Success","Collected information about the Vserver : snowySVM073 "
"Success","Collected information about all the shares on Vserver : snowySVM073"
"Success","Collected information about all the volumes on Vserver : snowySVM073"
"Success","Collected information about the Vserver : snowySVM074 "
"Success","Collected information about all the shares on Vserver : snowySVM074"
"Success","Collected information about all the volumes on Vserver : snowySVM074"
"Success","Collected information about the Vserver : snowySVM075 "
"Success","Collected information about all the shares on Vserver : snowySVM075"
"Success","Collected information about all the volumes on Vserver : snowySVM075"
"Success","Collected information about the Vserver : snowySVM076 "
"Success","Collected information about all the shares on Vserver : snowySVM076"
"Success","Collected information about all the volumes on Vserver : snowySVM076"
"Success","Collected information about the Vserver : snowySVM077 "
"Success","Collected information about all the shares on Vserver : snowySVM077"
"Success","Collected information about all the volumes on Vserver : snowySVM077"
"Success","Collected information about the Vserver : snowySVM080 "
"Success","Collected information about all the shares on Vserver : snowySVM080"
"Success","Collected information about all the volumes on Vserver : snowySVM080"
"Success","Collected information about the Vserver : snowySVM081 "
"Success","Collected information about all the shares on Vserver : snowySVM081"
"Success","Collected information about all the volumes on Vserver : snowySVM081"
"Success","Collected information about the Vserver : snowySVM082 "
"Success","Collected information about all the shares on Vserver : snowySVM082"
"Success","Collected information about all the volumes on Vserver : snowySVM082"
"Success","Collected information about the Vserver : snowySVM089 "
"Success","Collected information about all the shares on Vserver : snowySVM089"
"Success","Collected information about all the volumes on Vserver : snowySVM089"
"Success","Collected information about the Vserver : snowySVM090 "
"Success","Collected information about all the shares on Vserver : snowySVM090"
"Success","Collected information about all the volumes on Vserver : snowySVM090"
"Success","Collected information about the Vserver : snowySVM091 "
"Success","Collected information about all the shares on Vserver : snowySVM091"
